NORAD Number,COSPAR Number,Official Name,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Inclination (degrees),Period (minutes),Launch Mass (kg.), Dry Mass (kg.) ,Expected Lifetime (yrs.),Launch Site,Launch Vehicle
52093,2022-025AV ,Starlink-3667 ,USA,SpaceX,Commercial,Communications,LEO,0,348,351,53.2,91.5,260,,4,Cape Canaveral,Falcon 9
51975,2022-025AY ,Starlink-3668 ,USA,SpaceX,Commercial,Communications,LEO,0,348,351,53.2,91.5,260,,4,Cape Canaveral,Falcon 9
51963,2022-025R ,Starlink-3669 ,USA,SpaceX,Commercial,Communications,LEO,0,348,351,53.2,91.5,260,,4,Cape Canaveral,Falcon 9
51970,2022-029U ,Starlink-3670 ,USA,SpaceX,Commercial,Communications,LEO,0,348,351,53.2,91.5,260,,4,Cape Canaveral,Falcon 9
52121,2022-025S ,Starlink-3671 ,USA,SpaceX,Commercial,Communications,LEO,0,348,351,53.2,91.5,260,,4,Cape Canaveral,Falcon 9
51973,2022-025U ,Starlink-3672 ,USA,SpaceX,Commercial,Communications,LEO,0,348,351,53.2,91.5,260,,4,Cape Canaveral,Falcon 9
51969,2022-029F ,Starlink-3673 ,USA,SpaceX,Commercial,Communications,LEO,0,348,351,53.2,91.5,260,,4,Cape Canaveral,Falcon 9
51968,2022-025V ,Starlink-3674 ,USA,SpaceX,Commercial,Communications,LEO,0,348,351,53.2,91.5,260,,4,Cape Canaveral,Falcon 9
52140,2022-025H ,Starlink-3675 ,USA,SpaceX,Commercial,Communications,LEO,0,348,351,53.2,91.5,260,,4,Cape Canaveral,Falcon 9
53167,2022-025Q ,Starlink-3677 ,USA,SpaceX,Commercial,Communications,LEO,0,348,351,53.2,91.5,260,,4,Cape Canaveral,Falcon 9
52124,2022-029AK ,Starlink-3678 ,USA,SpaceX,Commercial,Communications,LEO,0,348,351,53.2,91.5,260,,4,Cape Canaveral,Falcon 9
52115,2022-025T ,Starlink-3679 ,USA,SpaceX,Commercial,Communications,LEO,0,348,351,53.2,91.5,260,,4,Cape Canaveral,Falcon 9
52279,2022-025P ,Starlink-3680 ,USA,SpaceX,Commercial,Communications,LEO,0,348,351,53.2,91.5,260,,4,Cape Canaveral,Falcon 9
52110,2022-025N ,Starlink-3681 ,USA,SpaceX,Commercial,Communications,LEO,0,348,351,53.2,91.5,260,,4,Cape Canaveral,Falcon 9
52310,2022-029BE ,Starlink-3682 ,USA,SpaceX,Commercial,Communications,LEO,0,348,351,53.2,91.5,260,,4,Cape Canaveral,Falcon 9
51961,2022-083AM,Starlink-3683 ,USA,SpaceX,Commercial,Communications,LEO,0,538,541,53.2,95.4,260,,4,Cape Canaveral,Falcon 9
51964,2022-029AN ,Starlink-3684 ,USA,SpaceX,Commercial,Communications,LEO,0,348,351,53.2,91.5,260,,4,Cape Canaveral,Falcon 9
51960,2022-029AD ,Starlink-3685 ,USA,SpaceX,Commercial,Communications,LEO,0,348,351,53.2,91.5,260,,4,Cape Canaveral,Falcon 9
51958,2022-041U ,Starlink-3686 ,USA,SpaceX,Commercial,Communications,LEO,0,348,351,53.2,91.5,260,,4,Cape Canaveral,Falcon 9
